lemma	tag	token	macron	source	
τλάς	a-s---mn-	ʽτλὰς	_3	
τλὰς	a-s---mn-	ʽτλὰς	_3	
ἄτᾳ	p-p---na-	ἄ	_3	
ἀβλαβείᾳ	n-s---fd-	ἀβλαβεία	_8	
ἀβουλιᾶν	n-s---fa-	ἀβουλιᾶ	_7	
ἀβουλίᾳ	n-s---fd-	ἀβουλία	_7	
ἀβουλίας	n-s---fg-	ἀβουλία	_7	
ἄγ	v2spma---	ἄγ	_1	
ἂγ	v2spma---	ἂγ	_1	
Ἀγαβάτας	n-s---mn-	Ἀγαβάτας		
ἀγαθᾶι	a-p---fn-	ἀγαθᾶι	_5	
ἀγαθᾶς	a-p---fa-	ἀγαθᾶς	_5	
ἀγαθάς	a-p---fa-	ἀγαθός	_5	
ἀγαθάς	a-p---fa-	ἀγαθός	_5	
ἀγαθὰς	a-p---fa-	ἀγαθός	_5	
ἀγαθᾶς	a-p---fa-	ἀγαθός	_5	
Ἀγαμεμνονείας	a-s---fg-	Ἀγαμεμνονεῖος		
Ἀγαμεμνονίαν	n-s---ma-	Ἀγαμεμνονία		
Ἀγαμεμνονίδας	n-s---fg-	Ἀγαμεμνονίδη		
ἀγγελίας	n-p---fa-	ἀγγελία	_7	
ἀγγελίας	n-s---fg-	ἀγγελία	_7	
ἀγγείλας	v-sapamn-	ἀγγέλλω	_7	
ἀγείρας	v-sapamn-	ἀγείρω	_6	
ἀγελαίας	a-p---fa-	ἀγελαῖος	_5	
ἀγέλας	n-p---fa-	ἀγέλη	_5	
Ἀγηνοριδᾶν	n-s---ma-	Ἀγηνοριδᾶς		
ἀγκάλας	n-p---fa-	ἀγκάλας	_6	
ἀγκάλας	n-p---fa-	ἀγκάλη	_6	
ἀγκύλας	n-p---fa-	ἀγκύλη	_6	
ἀγκύρας	n-p---fa-	ἄγκυρα	_6	
ἀγλαΐας	n-s---fg-	ἀγλαία	_6	
ἀγλαάς	a-p---fa-	ἀγλαός	_5	
ἀγλαὰς	a-p---fa-	ἀγλαός	_5	
ἁγνᾷ	a-s---fn-	ἁγνᾷ	_4	
ἁγνίσας	v-sapamn-	ἁγνίζω	_6	
ἀγνοίᾳ	n-s---fd-	ἄγνοια	_6	
ἀγνοίας	n-s---fg-	ἄγνοια	_6	
ἁγνάς	a-p---fa-	ἁγνός	_4	
ἁγνὰς	a-p---fa-	ἁγνός	_4	
ἁγνᾶς	a-s---fg-	ἁγνός	_4	
ἀγορᾷ	n-s---fd-	ἀγορά	_5	
ἀγορᾶς	n-s---fg-	ἀγορά	_5	
ἄγρας	n-s---fg-	ἄγρα	_4	
ἄγρας	n-p---fa-	ἄγρα	_4	
ἀγρευτάν	n-s---ma-	ἀγρευτάν	_7	
ἀγρευτὰν	n-s---ma-	ἀγρευτὰν	_7	
ἀγρίας	a-p---fa-	ἄγριος	_5	
ἀγρίας	a-s---fg-	ἄγριος	_5	
ἀγροβάτας	a-s---mn-	ἀγροβάτας	_8	
ἀγρωστᾶν	a-s---fa-	ἀγρωστᾶν	_7	
ἀγρώστας	a-p---fa-	ἀγρώστη	_7	
ἀγυιάς	n-p---fa-	ἀγυιά	_5	
ἀγυιάς	n-p---fa-	ἀγυιάς	_5	
ἀγυιᾶτ’	v2piia---	ἀγυιᾶτ	_5	
ἀγυιάς	n-p---fa-	ἀγυιός	_5	
ἀγυιὰς	n-p---fa-	ἀγυιός	_5	
ἀγχόνας	n-p---fa-	ἀγχόνη	_6	
ἀγωνίας	n-p---fa-	ἀγωνία	_6	
ἀδελφάν	n-s---ma-	ἀδελφάν	_6	
ἀδελφάς	n-p---fa-	ἀδελφή	_6	
ἀδελφάς	n-p---fa-	ἀδελφή	_6	
ἀδελφὰς	n-p---fa-	ἀδελφή	_6	
Ἀΐδαν	n-s---ma-	ᾅδης		
ἀδικίας	n-p---fa-	ἀδικία	_6	
ἀδμήτα	n-s---mv-	ἀδμήτης	_6	
ἁδονάν	n-s---ma-	ἁδονάς	_5	
Ἀδριηνᾶς	a-p---fa-	Ἀδριηνᾶς		
ἆἔα	v2spma---	ἆἔα	_1	
ἀειρομένας	v-pppefa-	ἀειρομένας	_9	
ἀείρας	v-sapamn-	ἀείρω	_5	
ἄρας	n-p---fa-	ἀείρω	_3	
ἄρας	v-sapamn-	ἀείρω	_3	
Ἀερίας	a-s---fg-	Ἀερῖος		
Ἀερόπας	n-p---fa-	Ἀερόπη		
Ἀζᾶσιν	n-p---md-	Ἀζᾶς		
Ἀθαναίας	a-p---fa-	Ἀθα	_7	
ἀθανάτας	a-p---fa-	ἀθανάτας	_7	
Ἀθᾶναι	a-p---fn-	Ἀθᾶνος	_5	
Ἀθάνας	n-p---fa-	ἀθῆναι		
Ἀθήνας	n-p---fa-	ἀθῆναι		
Ἀθήνας	n-s---fg-	ἀθῆναι		
Ἀθηναίας	n-s---fg-	Ἀθηναίη	_7	
Ἀθηναίας	n-p---fa-	Ἀθηναίη	_7	
Ἀθάνας	n-s---fg-	ἀθήνη		
Ἀθήνας	n-s---fg-	ἀθήνη		
ἀθλήσας	v-sapamn-	ἀθλέω	_6	
ἀθλίας	a-s---fg-	ἄθλιος	_5	
ἀθρήσας	v-sapamn-	ἀθρέω	_6	
ἀθροίσας	v-sapamn-	ἀθροίζω	_7	
Αἰακίδα	n-s---mv-	Αἰακίδας	_7	
Αἰακιδᾶν	n-p---mg-	αἰακίδης	_7	
αἴας	n-s---mn-	αἴας	_1	
Αἴας	n-s---mn-	αἴας		
Αἴας	n-s---mn-	Αἴας		
Αἰγαίας	n-s---fg-	Αἰγαίη		
αἴγλας	n-p---fa-	αἴγλη	_1	
Ἀίδα	n-s---mg-	Ἀίδα		
Ἀίδᾳ	n-s---mg-	Ἀίδᾳ		
Ἀΐδα	n-s---mg-	Ἀΐδα		
Ἀΐδᾳ	n-s---mg-	Ἀΐδᾳ		
Ἅιδᾳ	n-s---mg-	Ἅιδᾳ		
Ἀίδαν	n-s---ma-	Ἀίδαν		
Ἀίδας	n-s---mn-	Ἀίδας		
Ἀΐδᾳ	n-s---mg-	Ἀΐδας		
Ἀΐδας	n-s---mn-	Ἀΐδας		
Ἀΐδας	n-s---mn-	Ἀΐδης		
αἰθερίας	a-s---fg-	αἰθερῖος	_1	
αἰθερίας	a-p---fa-	αἰθερῖος	_1	
αἰκείας	a-p---fa-	αἰκεῖος	_1	
αἰκίας	n-s---fg-	αἰκία	_1	
αἱμάξας	v-sapamn-	αἱμάσσω	_4	
αἱματηράς	a-p---fa-	αἱματηρός	_4	
αἱματηρὰς	a-p---fa-	αἱματηρός	_4	
αἱμύλας	a-p---fa-	αἱμύλη	_1	
Αἰνέα	n-s---mv-	Αἰνέας		
Αἰνέαν	n-s---ma-	Αἰνέας		
Αἰνέας	n-s---mn-	αἰνείας		
αἰνέσας	v-sapamn-	αἰνέω	_1	
Αἰνιᾶνος	a-s---mg-	αἰνιάν		
αἰόλας	n-p---fa-	αἰόλας	_1	
αἰόλας	a-p---fa-	αἰόλος	_1	
ἀιόνας	n-p---fa-	ἀιόνη	_1	
ἀιστώσας	v-sapamn-	ἀιστοέω	_1	
αἰσυμνᾶι	v3spia---	αἰσυμνᾶιμι	_1	
αἰσχράς	a-p---fa-	αἰσχρός	_1	
αἰσχρὰς	a-p---fa-	αἰσχρός	_1	
αἰσχύνας	n-p---fa-	αἰσχύνη	_1	
αἰσχύνας	v2siia---	αἰσχύνω	_1	
αἰτίᾳ	n-s---fd-	αἰτία	_1	
αἰτίας	n-s---fg-	αἰτία	_1	
αἰτιᾶσθε	v2ppie---	αἰτιάομαι	_1	
Αἰτναίας	n-p---fa-	Αἰτναίη		
Αἴτνας	n-p---fa-	Αἴτνη		
Αἰτωλίας	n-s---fg-	Αἰτωλία		
αἰχμαλωτίδας	a-p---fa-	αἰχμαλωτίς	_5	
αἰχμαλωτίδας	n-p---fa-	αἰχμαλωτίς	_5	
αἰχμάς	n-p---fa-	αἰχμή	_1	
αἰχμὰς	n-p---fa-	αἰχμή	_1	
ἀκάκας	n-s---mn-	ἀκάκας	_5	
ἀκούσας	v-sapamn-	ἀκέω	_6	
ἀκμαίας	a-p---fa-	ἀκμαίη	_4	
ἀκμάς	n-p---fa-	ἀκμή	_4	
ἀκμάς	n-p---fa-	ἀκμή	_4	
ἀκμὰς	n-p---fa-	ἀκμή	_4	
ἀκοάς	n-p---fa-	ἀκοή	_4	
ἀκοὰς	n-p---fa-	ἀκοή	_4	
ἀκοίταν	n-s---ma-	ἀκοίτης	_6	
ἀκούσας	v-sapamn-	ἀκούω	_6	
Ἀκραίας	a-s---fg-	Ἀκραῖος	_6	
ἀκροτάτας	a-p---fas	ἀκρός	_8	
ἄκρας	n-s---fg-	ἄκρος	_4	
ἄκρας	a-p---fa-	ἄκρος	_4	
ἄκρας	n-p---fa-	ἄκρος	_4	
ἄκρας	a-s---fg-	ἄκρος	_4	
ἀκτᾶς	n-p---fa-	ἀκτᾶς	_4	
ἀκτάς	n-p---fa-	ἀκτή	_4	
ἀκτάς	n-p---fa-	ἀκτή	_4	
ἀκτὰς	n-p---fa-	ἀκτή	_4	
ἀκτᾶς	n-p---fa-	ἀκτή	_4	
ἀκτῖν’	n-s---fa-	ἀκτῖν	_4	
ἀκτῖνα	n-s---fa-	ἀκτῖνα	_4	
ἀκτῖνας	n-p---fa-	ἀκτῖνας	_4	
ἀκτῖνος	n-s---fg-	ἀκτῖνός	_4	
ἀκτῖσιν	n-p---fd-	ἀκτῖς	_4	
ἀλλοτρίας	a-s---fg-	ἀλ	_8	
ἀλαλᾶι	a-p---fn-	ἀλαλᾶ	_5	
ἀλαλαγάς	n-p---fa-	ἀλαλαγή	_7	
ἀλαλαγὰς	n-p---fa-	ἀλαλαγή	_7	
ἀλᾶσθαι	v--pne---	ἀλᾶμαι	_3	
ἀλᾶται	v3spia---	ἀλᾶμαι	_3	
ἀλωμένας	v-pppefa-	ἀλάομαι	_7	
ἀλᾶτα	d--------	ἀλᾶς	_3	
Ἁλάς	n-s---mn-	Ἁλάς		
ἀλάταν	n-s---ma-	ἀλάτας	_5	
ἀλάταν	a-s---ma-	ἀλάτας	_5	
ἀλάτας	n-s---mn-	ἀλάτας	_5	
ἀλάταν	n-s---ma-	ἀλάτης	_5	
ἀλγεινοτάτας	a-s---fgs	ἀλγεινός	_11	
ἀλγήσας	v-sapamn-	ἀλγέω	_6	
ἀλγηδόνας	n-p---fa-	ἀλγηδών	_8	
ἀλγῦναι	v--ana---	ἀλγῦναί	_4	
ἀλγύνεικυρήσας	v-sapamn-	ἀλγύνεικυράω	_13	
ἀληθείᾳ	n-s---fd-	ἀλήθεια	_7	
ἀληθείας	n-s---fg-	ἀλήθεια	_7	
ἀλήταν	n-s---ma-	ἀλήταν	_5	
ἁλιαδᾶν	n-p---mg-	ἁλιάδης	_6	
ἁλίσας	v-sapamn-	ἁλίζω	_5	
ἁλίας	a-p---fa-	ἁλίη	_4	
ἁλίας	a-p---fa-	ἁλίος	_4	
ἁλούσας	v-papafa-	ἁλίσκομαι	_6	
ἀλκᾷ	n-s---fd-	ἀλκά	_4	
ἀλκᾶς	n-s---fg-	ἀλκά	_4	
ἀλκᾶι	n-s---fd-	ἀλκᾶ	_4	
ἀλκᾷ	n-s---fn-	ἀλκᾷ	_4	
ἀλκᾶι	u--------	ἀλκᾶι	_4	
ἀλκάς	n-s---fg-	ἀλκάς	_4	
ἀλκὰς	n-s---fg-	ἀλκὰς	_4	
ἀλκᾶς	n-s---fg-	ἀλκᾶς	_4	
Ἀλκμήνας	n-s---fg-	ἀλκμήνη		
Ἀλκμήνας	n-p---fa-	ἀλκμήνη		
ἀλλαγᾷ	v1sria---	ἀλλαγᾷ	_6	
ἀλλαγᾷ	d--------	ἀλλαγᾷ	_6	
ἀλλάξας	v-sapamn-	ἀλλάσσω	_6	
ἀλλήλας	a-p---fa-	ἀλλήλας	_6	
ἀλλήλας	a-p---fa-	ἀλλήλων	_6	
ἄλλᾳ	a-p---na-	ἄλλος	_4	
ἄλλας	a-p---fa-	ἄλλος	_4	
ἀλλοτρίας	a-s---fg-	ἀλλότριος	_8	
ἅλμας	n-s---fg-	ἅλμας	_4	
ἁλμυρᾶς	a-s---fg-	ἁλμυρός	_6	
ἀλουσίας	n-p---fa-	ἀλουσίη	_7	
ἀλφηστᾶν	a-s---fa-	ἀλφηστᾶν	_7	
Ἀμαζόνας	n-p---fa-	ἀμαζών		
ἀμαθίας	n-s---fg-	ἀμαθία	_6	
ἀμαθίας	n-p---fa-	ἀμαθία	_6	
ἀμαιμακετᾶν	a-s---fa-	ἀμαιμακετᾶς	_6	
ἀμᾶν	n-s---na-	ἀμᾶν	_3	
ἁμαρτίας	n-p---fa-	ἁμαρτία	_7	
ἁμαρτίας	n-s---fg-	ἁμαρτία	_7	
ἀμαυρᾶς	n-s---fg-	ἀμαυρᾶς	_3	
ἀμαυρᾶς	a-s---fg-	ἀμαυρᾶς	_3	
ἀμαυρᾶς	n-s---fg-	ἀμαυρή	_3	
ἀμᾷ	v3spia---	ἀμάω	_3	
ἀμβάς	n-p---fa-	ἀμβή	_4	
ἀμβὰς	n-p---fa-	ἀμβή	_4	
ἀμβολάς	n-p---fa-	ἀμβολή	_6	
ἀμβολὰς	n-p---fa-	ἀμβολή	_6	
ἀμείψας	v-sapamn-	ἀμείβω	_6	
ἁμέρᾳ	n-s---fn-	ἁμέρᾳ	_5	
Ἁμέρας	a-s---fg-	Ἁμέρας		
ἀμέρσας	v-sapamn-	ἀμέρζω	_6	
ἁμέρα	n-d---fn-	ἁμέρη	_5	
ἁμέρας	n-s---fg-	ἁμέρη	_5	
ἁμετέρας	a-s---fg-	ἁμέτερος	_7	
ἀμηχανίας	n-s---fg-	ἀμηχανία	_8	
ἁμίλλας	n-s---mn-	ἁμίλ	_6	
ἁμιλλᾶι	n-p---fn-	ἁμιλλᾶ	_6	
ἁμίλλας	n-p---fa-	ἁμίλλα	_6	
ἁμίλλας	n-s---fg-	ἁμίλλα	_6	
ἁμιλλᾶσθαι	v--pne---	ἁμιλλάομαι	_6	
ἁμιλλᾶται	v3spie---	ἁμιλλάω	_6	
Ἀμμωνιάδας	n-p---fa-	Ἀμμωνιάδη		
ἀμοιβάς	n-p---fa-	ἀμοιβή	_6	
ἀμοιβὰς	n-p---fa-	ἀμοιβή	_6	
ἀμουσίας	n-p---fa-	ἀμουσίη	_7	
ἀμπείρας	n-p---fa-	ἀμπείρη	_7	
ἀμπετάσας	v-sapamn-	ἀμπετάζω	_8	
ἀμπετάσας	v-sapamn-	ἀμπετάω	_8	
ἀμπλακίας	n-s---fg-	ἀμπλακεία	_8	
ἀμπνοάς	a-s---mn-	ἀμπνοάς	_6	
ἀμπνοάς	n-p---fa-	ἀμπνοάς	_6	
ἀμπνοὰς	a-s---mn-	ἀμπνοὰς	_6	
ἀμῦναι	v--ana---	ἀμύνω	_3	
Ἀμφαναίας	a-p---fa-	Ἀμφαναί	_8	
ἀμφεστᾶσι	v3ppia---	ἀμφεστᾶσι	_7	
ἀμφιβᾶσα	v-sapafn-	ἀμφιβαίνω	_6	
ἀμφιβᾶσ’	v-sapafn-	ἀμφιβᾶσ	_6	
Ἀμφιονίας	a-s---fg-	Ἀμφιονῖος		
ἀμφιπτυχάς	v-sapamn-	ἀμφιπτυχά	_9	
Ἀμφιτρίτας	n-s---fg-	Ἀμφιτρί		
Ἀμφιτρίτας	n-s---fg-	Ἀμφιτρίτη		
ἀμφοτέρας	a-p---fa-	ἀμφότερος	_8	
ἀμφυγᾶς	v2sria---	ἀμφυγᾶς	_6	
ἀναβᾶσ’	v-sapafn-	ἀναβᾶσ	_5	
ἀναβοᾶι	v2spie---	ἀναβοᾶι	_6	
ἀναβοάσας	v-sapamn-	ἀναβοάσας	_8	
ἀναγκάσας	v-sapamn-	ἀναγκάζω	_8	
ἀναγκαίας	a-s---fg-	ἀναγκαῖος	_6	
ἀναγκαίας	a-p---fa-	ἀναγκαῖος	_6	
ἀνάγκας	n-p---fa-	ἀνάγκας	_6	
ἀνάγκας	n-p---fa-	ἀνάγκη	_6	
Ἀνάγκας	n-p---fa-	ἀνάγκη		
ἀναδεσμᾶν	n-s---na-	ἀναδεσμᾶις	_8	
ἀναιδείας	n-s---fg-	ἀναιδεία	_3	
ἀναιδείας	n-p---fa-	ἀναιδείη	_3	
ἀνακλάσας	v-sapamn-	ἀνακλάω	_8	
ἀναλώσας	v-sapamn-	ἀναλώζω	_7	
ἀνανδρίας	n-s---fg-	ἀνανδρία	_8	
ἄνα	n-s---mv-	ἄναξ	_3	
ἀναπτύξας	v-sapamn-	ἀναπτύσσω	_8	
ἀναρπάσας	v-sapamn-	ἀναρπάζω	_8	
ἀναρπάσας	v-sapamn-	ἀναρπάω	_8	
Ἀναρχίας	n-s---fg-	Ἀναρχία		
ἀνᾴσσων	v-sppamn-	ἀνᾴσσω	_3	
ἀναστᾶσ’	v-sapafn-	ἀναστᾶσ	_6	
ἀναστρέψας	v-sapamn-	ἀναστρέπω	_9	
ἀνατλάς	v-sapamn-	ἀνατλάς	_6	
ἀνατλὰς	v-sapamn-	ἀνατλὰς	_6	
ἀνατλᾶσα	v-sapafn-	ἀνατλᾶσα	_6	
ἀνατροπάς	n-p---fa-	ἀνατροπή	_8	
ἀναψυχάς	a-p---fa-	ἀναψυχάς	_7	
ἀναψυχὰς	a-p---fa-	ἀναψυχὰς	_7	
ἀναψυχάς	n-p---fa-	ἀναψυχή	_7	
ἀνδρείᾳ	n-s---fd-	ἀνδρεία	_7	
ἀνδρείας	n-s---fg-	ἀνδρεία	_7	
ἀνεβόα	v3siia---	ἀνεβόας	_6	
ἀνεωιγμένας	v-prpefa-	ἀνεωιγμένας	_10	
ἀνηβᾶι	a-p---fn-	ἀνηβᾶς	_5	
ἀνθήσας	v-sapamn-	ἀνθάω	_6	
ἀνίας	n-p---fa-	ἀνία	_4	
ἀνιᾷ	v3siia---	ἀνιάω	_4	
ἀνιᾷς	v2spia---	ἀνιάω	_4	
ἀνιᾶσθαι	v--pne---	ἀνιάω	_4	
ἀνειμένας	v-prpefa-	ἀνίημι	_8	
ἁνίκα	v3siia---	ἁνικάω	_5	
ἀναστάς	v-sapamn-	ἀνίστημι	_6	
ἀναστὰς	v-sapamn-	ἀνίστημι	_6	
ἀνοίας	n-s---fg-	ἄνοια	_5	
ἀνοίξας	v-sapamn-	ἀνοίγνυμι	_6	
ἀνοσιωτάτας	a-p---fa-	ἀνοσιωτάτας	_10	
ἀντᾶραι	v2spie---	ἀντᾶρω	_4	
ἀνταυδᾷς	v2spia---	ἀνταυδάω	_4	
ἀντήσας	v-sapamn-	ἀντάω	_6	
ἀντερᾶις	n-p---fd-	ἀντερᾶις	_6	
ἀντήσας	v-sapamn-	ἀντέω	_6	
ἀντηρέτας	v3siie---	ἀντηρέτας	_8	
ἀντηρέτας	n-p---fa-	ἀντηρέτη	_8	
ἀντιάσας	v-sapamn-	ἀντιάω	_7	
ἀντιβᾶσα	v-sapafn-	ἀντιβαίνω	_6	
ἀντιδρᾶν	v--pna---	ἀντιδρᾶν	_7	
ἀντιδρᾶν	v--pna---	ἀντιδράω	_7	
ἀντίας	a-p---fa-	ἀντίος	_5	
ἀντισηκώσας	v-sapamn-	ἀντισηκώζω	_10	
ἀντιστάς	v-sapamn-	ἀντισταίνω	_7	
ἀντιστὰς	v-sapamn-	ἀντισταίνω	_7	
Ἀντιτύπᾳ	a-s---fd-	ἀντίτυπος		
ἀντολάς	n-p---fa-	ἀντολή	_6	
ἀντολάς	n-p---fa-	ἀντολή	_6	
ἀντολὰς	n-p---fa-	ἀντολή	_6	
ᾄξασα	v-sapafn-	ᾄξασα	_1	
ᾄξας	n-p---fa-	ᾄξη	_1_3	
ἀξίνας	n-p---fa-	ἀξίνη	_5	
ἀξίας	a-s---fg-	ἄξιος	_4	
ἀξιώσας	v-sapamn-	ἀξιόω	_6	
ἄξας	v-sapamn-	ἄξω	_3	
ἆὀδύνη	u--------	ἆὀδύνη	_1	
ἀοιδάς	n-p---fa-	ἀοιδάς	_5	
ἀοιδάς	n-p---fa-	ἀοιδή	_5	
ἀοιδάς	n-p---fa-	ἀοιδή	_5	
ἀοιδὰς	n-p---fa-	ἀοιδή	_5	
ᾠδάς	n-p---fa-	ἀοιδή	_3	
ᾠδὰς	n-p---fa-	ἀοιδή	_3	
ἀπαιδίας	n-s---fg-	ἀπαιδία	_3	
ἀπήνας	v-sapamn-	ἀπαίνω	_5	
ἀπαιολᾶι	v3spia---	ἀπαιολᾶι	_3	
ἀπάρας	v-sapamn-	ἀπαίρω	_5	
ἀπαλλαγάς	n-p---fa-	ἀπαλλαγή	_8	
ἀπαλλαγάς	n-p---fa-	ἀπαλλαγή	_8	
ἀπαλλαγὰς	n-p---fa-	ἀπαλλαγή	_8	
ἀπαλλάξας	v-sapamn-	ἀπαλλάσσω	_8	
ἀπαντᾶι	v2spie---	ἀπαμᾶι	_6	
ἀπαντᾶν	v--pna---	ἀπαντάω	_6	
ἀπαντᾶν	a-s---ma-	ἀπαντάω	_6	
ἀπαντήσας	v-sapamn-	ἀπαντήω	_8	
ἀπᾴξας	v-sapamn-	ἀπᾴξας	_3_5	
ἀπαρχάς	n-p---fa-	ἀπαρχή	_6	
ἀπαρχὰς	n-p---fa-	ἀπαρχή	_6	
ἅπας	a-s---mn-	ἅπας	_3	
Ἅπας	a-s---mn-	ἅπας		
ἁπάσας	a-p---fa-	ἅπας	_5	
ἀπάτας	n-p---fa-	ἀπάτη	_5	
ἀπαυδᾶις	v2spia---	ἀπαυδᾶις	_3	
ἀπαυδᾶν	v--pna---	ἀπαυδάω	_3	
ἀπηύδα	v3siia---	ἀπαυδάω	_6	
ἀπηύρα	v3siia---	ἀπαυράω	_6	
ἀπούσας	v-pppafa-	ἀπάω	_6	
ἀπειθήσας	v-sapamn-	ἀπειθέω	_8	
ἀπειλάς	n-p---fa-	ἀπειλή	_6	
ἀπειλάς	n-p---fa-	ἀπειλή	_6	
ἀπειλὰς	n-p---fa-	ἀπειλή	_6	
ἀπεμπολᾶις	n-p---fd-	ἀπεμπολᾶις	_8	
ἀπεμπολᾶτε	v2pama---	ἀπεμπολᾶτε	_8	
ἀπεχθείας	n-s---fg-	ἀπεχθεία	_8	
ἀπημπόλα	v3siia---	ἀπημπόλα	_8	
ἀπήνας	v-sapamn-	ἀπήνη	_5	
Ἀπίας	a-s---mn-	ἄπιος		
Ἀπίας	a-s---fg-	ἄπιος		
ἀπιστίας	n-s---fg-	ἀπιστία	_7	
ἁπλᾶς	a-p---fa-	ἁπλᾶς	_4	
ἀπλοίᾳ	a-p---na-	ἀπλοίᾳ	_6	
ἀπλοίας	a-p---fa-	ἀπλοίας	_6	
ἀποζυγείσας	v-pppafa-	ἀπό	_10	
ἀποβάς	v-sapamn-	ἀποβαίνω	_5	
ἀποβλέψας	v-sapamn-	ἀποβλέπω	_8	
ἀποινᾶσθαι	v--anm---	ἀποινᾶσθαι	_6	
ἀποστᾶσα	v-sapafn-	ἀποίστημι	_6	
ἀποιχομένας	v-pppefa-	ἀποιχομένας	_10	
ἀποκλῖναι	v--ana---	ἀποκλῖναι	_6	
ἀποκρίνας	v-sapamn-	ἀποκρίνω	_8	
ἀποκρύψας	v-sapamn-	ἀποκρύπτω	_8	
ἀποκτείνας	v-sapamn-	ἀποκτείνω	_9	
ἀποκωκῦσαι	v--ana---	ἀποκωκῦζω	_7	
ἀπολέσας	v-sapamn-	ἀπόλλυμι	_7	
ἀπόλλυσιν	v3spia---	ἀπόλλυμι	_6	
ἀποπεμψαμένα	v-dapmfn-	ἀποπεμψαμένα	_12	
ἀπορίας	n-s---fg-	ἀπορία	_6	
ἀποσπάσας	v-sapamn-	ἀποσπάζω	_8	
Ἀποσπάσας	v-sapamn-	Ἀποσπάω		
ἀποστᾶσ’	v-sapafn-	ἀποστᾶσ	_6	
ἀποσυλᾶται	v3spie---	ἀποσυλάομαι	_7	
ἀποσυλήσας	v-sapamn-	ἀποσυλέω	_9	
ἀπουσίᾳ	n-s---fd-	ἀπουσία	_7	
ἀπουσίας	n-s---fg-	ἀπουσία	_7	
ἀπουσίας	n-s---fg-	ἀπουσίας	_7	
ἀποφθείρας	v-sapamn-	ἀποφθείρω	_9	
ἀποφθορᾷ	a-p---na-	ἀποφθορᾷ	_8	
ἀράς	n-p---fa-	ἀρά	_3	
ἀράς	v-sapamn-	ἀρά	_3	
ἀράς	n-p---fa-	ἀρά	_3	
Ἀράς	n-p---fa-	ἀρά		
Ἀράς	n-p---fa-	ἀρά		
ἀρὰς	n-p---fa-	ἀρά	_3	
ἀρὰς	v-sapamn-	ἀρά	_3	
Ἀρὰς	n-p---fa-	ἀρά		
ἀρᾶς	n-s---fg-	ἀρά	_3	
ἀρᾶς	n-p---fa-	ἀρά	_3	
ἀρᾷ	g--------	ἀρᾷ	_3	
τἄρα	v2spma---	ἄρα	_4	
Ἀραβίας	n-s---fg-	Ἀραβία		
ἀρᾶι	v3ppia---	ἀρᾶι	_3	
ἀρᾶν	n-p---fg-	ἀρᾶν	_3	
ἀρᾶται	v3srie---	ἀράομαι	_3	
ἀρᾶται	v3sase---	ἀράομαι	_3	
ἀράς	n-p---fa-	ἀράς	_3	
ἀράξας	v-sapamn-	ἀράσσω	_5	
ἀρβύλας	n-s---fg-	ἀρβύλα	_6	
ἀργᾶς	a-p---fa-	ἀργᾶς	_4	
Ἀργείας	a-s---fg-	Ἀργείας		
Ἀργείας	a-s---fg-	Ἀργεῖος		
Ἀργείας	a-p---fa-	Ἀργεῖος		
Ἀργείᾳ	a-s---fd-	̓ἀργεῖος		
ἀργίας	n-s---fg-	ἀργία	_5	
Ἀργόλας	a-s---mn-	Ἀργόλας		
Ἀρεθούσας	v-pppafa-	Ἀρεθούσας		
Ἀρείας	a-p---fa-	Ἀρείη		
ἀρετᾶι	n-p---fd-	ἀρετᾶι	_5	
ἀρετάς	n-p---fa-	ἀρετή	_5	
ἀρετὰς	n-p---fa-	ἀρετή	_5	
ἀρετᾶς	n-p---fa-	ἀρετή	_5	
ἀρετᾶς	n-s---fg-	ἀρετή	_5	
Ἀρετᾶς	n-s---fg-	ἀρετή		
ἀριστείας	n-s---fg-	ἀριστεία	_8	
ἀριστερᾶς	a-s---fg-	ἀριστερᾶ	_8	
ἀριστερᾶς	n-s---fg-	ἀριστερᾶ	_8	
ἀριστερᾶς	a-s---fg-	ἀριστερός	_8	
ἀριστεύσας	v-sapamn-	ἀριστεύω	_9	
ἀρίστας	a-p---fa-	ἄριστος	_6	
Ἀρκάς	n-s---mn-	ἀρκάς		
Ἀρκὰς	n-s---mn-	ἀρκάς		
Ἀρκάς	n-s---mn-	Ἀρκάς		
Ἀρκάς	n-p---fa-	Ἀρκάς		
ἀρκέσας	v-sapamn-	ἀρκέω	_6	
ἁρματεύσας	v-sapamn-	ἁρματεύσας	_9	
ἁρμόσας	v-sapamn-	ἁρμόζω	_6	
Ἁρμονίας	n-s---fg-	Ἁρμονία		
Ἁρμονίᾳ	n-s---fn-	Ἁρμονίᾳ		
